,County,County Code,Deaths sum,summed_crude_rate,summed_adjusted_rate
1,"Baldwin County, AL",01003,34.0,15.23065482856554,13.934429948048843
2,"Calhoun County, AL",01015,15.0,13.203644205800801,
3,"Colbert County, AL",01033,12.0,21.72299560109339,
4,"DeKalb County, AL",01049,18.0,25.170248765958636,
5,"Elmore County, AL",01051,12.0,14.776687312982551,
6,"Etowah County, AL",01055,16.0,15.645167598857903,
7,"Houston County, AL",01069,11.0,10.38892351863395,
9,"Jefferson County, AL",01073,69.0,10.477198427509176,10.34623357206325
10,"Lee County, AL",01081,10.0,6.077475659709982,
12,"Madison County, AL",01089,57.0,15.285230444961105,14.411787846239495
14,"Mobile County, AL",01097,54.0,13.068415575615303,12.684050045067432
15,"Montgomery County, AL",01101,17.0,7.505982709748063,
16,"Morgan County, AL",01103,10.0,8.355684790146976,
17,"Shelby County, AL",01117,11.0,5.052778568869371,
18,"Talladega County, AL",01121,12.0,15.004126134687038,
19,"Tuscaloosa County, AL",01125,17.0,8.120178643930167,
20,"Walker County, AL",01127,10.0,15.742825207411721,
22,"Anchorage Borough, AK",02020,44.0,15.277777777777779,14.983975059456297
24,"Fairbanks North Star Borough, AK",02090,24.0,24.78084440727318,
25,"Matanuska-Susitna Borough, AK",02170,16.0,14.77145785056824,
26,"Cochise County, AZ",04003,16.0,12.706278489858802,
27,"Coconino County, AZ",04005,22.0,15.333574953302294,14.732258324308177
28,"Gila County, AZ",04007,12.0,22.214817283127847,
37,"Maricopa County, AZ",04013,700.0,15.606140258179066,15.606140258179066
39,"Mohave County, AZ",04015,52.0,24.507378134705746,21.690437581933658
40,"Navajo County, AZ",04017,19.0,17.128844974937795,
45,"Pima County, AZ",04019,218.0,20.815847543968705,18.177218178209642
47,"Pinal County, AZ",04021,54.0,11.668384512164291,11.01285744866965
50,"Yavapai County, AZ",04025,74.0,31.476101557216325,
51,"Yuma County, AZ",04027,20.0,9.35510578285864,9.554151678236774
52,"Baxter County, AR",05005,11.0,26.232948583420775,
54,"Benton County, AR",05007,33.0,11.82198243898245,11.82198243898245
55,"Garland County, AR",05051,21.0,21.12973658261727,19.827903635250983
57,"Pulaski County, AR",05119,47.0,11.992518709604987,12.24768008135197
58,"Saline County, AR",05125,25.0,20.418664292656633,18.917291703423544
59,"Washington County, AR",05143,15.0,6.2712438385029285,
62,"Alameda County, CA",06001,105.0,6.2824255427866085,5.9517713303483175
64,"Butte County, CA",06007,29.0,13.230772038360113,
66,"Contra Costa County, CA",06013,76.0,6.588494754344506,5.906925965859488
68,"El Dorado County, CA",06017,25.0,12.96391364996396,
70,"Fresno County, CA",06019,71.0,7.106388643390408,7.3037884220565354
71,"Humboldt County, CA",06023,10.0,7.376916153970994,
74,"Kern County, CA",06029,92.0,10.219928416066617,11.997308065584988
75,"Kings County, CA",06031,13.0,8.500065385118347,
86,"Los Angeles County, CA",06037,833.0,8.297550768210758,8.297550768210758
87,"Madera County, CA",06039,11.0,6.991806873581776,
88,"Marin County, CA",06041,14.0,5.409039277352353,
89,"Merced County, CA",06047,11.0,3.9613944108326127,
90,"Monterey County, CA",06053,19.0,4.377264946631925,
97,"Orange County, CA",06059,306.0,9.6356951492777,
99,"Placer County, CA",06061,34.0,8.535657710083875,
106,"Riverside County, CA",06065,285.0,11.535911494867937,
109,"Sacramento County, CA",06067,162.0,10.437754259183613,9.928596000404811
114,"San Bernardino County, CA",06071,196.0,8.990475142024279,8.990475142024279
124,"San Diego County, CA",06073,405.0,12.131814410199112,
127,"San Francisco County, CA",06075,64.0,7.2599481140583215,
129,"San Joaquin County, CA",06077,55.0,7.2164461495667505,7.449235373299569
130,"San Luis Obispo County, CA",06079,19.0,6.71114863074907,
132,"San Mateo County, CA",06081,36.0,4.696225930211473,
134,"Santa Barbara County, CA",06083,47.0,10.526339364701824,9.452222987757384
138,"Santa Clara County, CA",06085,115.0,5.965188199094121,
139,"Santa Cruz County, CA",06087,15.0,5.490221914769795,
141,"Shasta County, CA",06089,36.0,19.991115059973346,
143,"Solano County, CA",06095,38.0,8.488907455271278,
146,"Sonoma County, CA",06097,52.0,10.519161056447436,
149,"Stanislaus County, CA",06099,49.0,8.898412813714453,
151,"Tulare County, CA",06107,24.0,5.148060361007733,
154,"Ventura County, CA",06111,64.0,7.564958168145379,6.647993965282484
156,"Adams County, CO",08001,74.0,14.30170016292342,15.477182998673003
159,"Arapahoe County, CO",08005,95.0,14.468694314564644,13.355717032766085
161,"Boulder County, CO",08013,29.0,8.890360396816638,
165,"Denver County, CO",08031,124.0,17.05144724158463,
168,"Douglas County, CO",08035,35.0,9.96713692567933,
171,"El Paso County, CO",08041,158.0,21.932168522340966,21.28232740228906
172,"Fremont County, CO",08043,17.0,35.535859863291456,
173,"Garfield County, CO",08045,10.0,16.649739431577895,
175,"Jefferson County, CO",08059,77.0,13.210243600323222,12.061527039387943
177,"Larimer County, CO",08069,50.0,14.009565731481455,12.822314369998782
179,"Mesa County, CO",08077,28.0,18.157058556513846,
180,"Montrose County, CO",08085,10.0,23.387436269236165,
181,"Park County, CO",08093,10.0,53.06447333510215,
183,"Pueblo County, CO",08101,31.0,18.405927896261815,18.560600647115255
185,"Weld County, CO",08123,48.0,14.792352353833069,15.30836312791387
188,"Fairfield County, CT",09001,57.0,6.04241136736589,
191,"Hartford County, CT",09003,88.0,9.868568608980398,9.04618749942368
194,"New Haven County, CT",09009,65.0,7.604500460364759,7.273870537658283
196,"New London County, CT",09011,28.0,10.557830516654978,
197,"Tolland County, CT",09013,11.0,7.298253063607593,
199,"New Castle County, DE",10003,41.0,7.33776820885078,
200,"Sussex County, DE",10005,11.0,4.696338990287117,
202,"District of Columbia, DC",11001,27.0,3.825722742788159,
204,"Alachua County, FL",12001,23.0,8.548819333712455,
205,"Bay County, FL",12005,21.0,12.02026272859964,10.617899364531374
207,"Brevard County, FL",12009,94.0,15.616122483561538,11.897998304331036
211,"Broward County, FL",12011,187.0,9.57610132846642,
214,"Charlotte County, FL",12015,41.0,21.703456672489544,16.379966250445815
215,"Citrus County, FL",12017,34.0,22.718616569889814,16.01312115518728
216,"Clay County, FL",12019,17.0,7.753635086567055,
218,"Collier County, FL",12021,33.0,8.573610945123693,
222,"Duval County, FL",12031,141.0,14.721927841671407,13.571777229040828
224,"Escambia County, FL",12033,40.0,12.566129255205519,11.531271613517978
225,"Flagler County, FL",12035,12.0,10.427438065362656,
227,"Hernando County, FL",12053,36.0,18.564356435643564,14.54669724006464
228,"Highlands County, FL",12055,12.0,11.29720111842291,
233,"Hillsborough County, FL",12057,188.0,12.772016782973543,12.216712599119525
234,"Indian River County, FL",12061,19.0,11.880717595342759,
236,"Lake County, FL",12069,52.0,14.164383113876191,12.184414937284092
240,"Lee County, FL",12071,107.0,13.885698638812213,10.856092069373323
241,"Leon County, FL",12073,10.0,3.406203377591269,
243,"Manatee County, FL",12081,59.0,14.631013284464094,13.08350333731667
245,"Marion County, FL",12083,61.0,16.685859964604095,11.634178210455364
246,"Martin County, FL",12085,16.0,9.937888198757763,
250,"Miami-Dade County, FL",12086,235.0,8.649436498413657,6.919549301840243
251,"Okaloosa County, FL",12091,20.0,9.490457345139463,9.090859760399224
255,"Orange County, FL",12095,103.0,7.391714963988713,
257,"Osceola County, FL",12097,38.0,10.113080204710034,9.797045845526291
263,"Palm Beach County, FL",12099,201.0,13.428916934465548,
265,"Pasco County, FL",12101,91.0,16.427564369876542,14.564645567186274
269,"Pinellas County, FL",12103,152.0,15.589807547928402,
272,"Polk County, FL",12105,102.0,14.073294268443949,12.314131646054749
274,"St. Johns County, FL",12109,38.0,14.357393301898197,11.449566951196983
276,"St. Lucie County, FL",12111,39.0,11.879487171676866,8.99446938455214
277,"Santa Rosa County, FL",12113,21.0,11.393661868669058,10.494162283201247
280,"Sarasota County, FL",12115,69.0,15.908074385233618,14.758091961969594
282,"Seminole County, FL",12117,43.0,9.113529139979569,8.423110380964774
283,"Sumter County, FL",12119,20.0,15.103458692040476,12.702908405741253
285,"Volusia County, FL",12127,97.0,17.531683547689795,12.91808244909199
286,"Bibb County, GA",13021,13.0,8.48791125562324,
288,"Chatham County, GA",13051,58.0,20.039387762153197,18.497896487713767
290,"Cherokee County, GA",13057,25.0,9.660976995281578,
291,"Clayton County, GA",13063,13.0,4.4481550421548235,
293,"Cobb County, GA",13067,61.0,8.024826972890557,8.199279691578006
294,"Coweta County, GA",13077,21.0,14.140557137951236,13.438543184808758
