,city,state,population,lng,lat
16933,Anchorage,AK,298695.0,298695.0,298695.0
16934,Birmingham,AL,212461.0,212461.0,212461.0
16935,Little Rock,AR,197992.0,197992.0,197992.0
16936,Phoenix,AZ,1563025.0,1563025.0,1563025.0
16937,Los Angeles,CA,3971883.0,3971883.0,3971883.0
16938,Denver,CO,682545.0,682545.0,682545.0
16939,Bridgeport,CT,147629.0,147629.0,147629.0
16940,Washington,DC,601723.0,601723.0,601723.0
16941,Wilmington,DE,71948.0,71948.0,71948.0
16942,Jacksonville,FL,868031.0,868031.0,868031.0
16943,Atlanta,GA,463878.0,463878.0,463878.0
16944,Honolulu,HI,371657.0,371657.0,371657.0
16945,Des Moines,IA,210330.0,210330.0,210330.0
16946,Boise,ID,145987.0,145987.0,145987.0
16947,Chicago,IL,2720546.0,2720546.0,2720546.0
16948,Indianapolis,IN,829718.0,829718.0,829718.0
16949,Wichita,KS,389965.0,389965.0,389965.0
16950,Lexington-Fayette,KY,314488.0,314488.0,314488.0
16951,New Orleans,LA,389617.0,389617.0,389617.0
16952,Boston,MA,667137.0,667137.0,667137.0
16953,Baltimore,MD,621849.0,621849.0,621849.0
16954,Portland,ME,66881.0,66881.0,66881.0
16955,Detroit,MI,677116.0,677116.0,677116.0
16956,Minneapolis,MN,410939.0,410939.0,410939.0
16957,Kansas City,MO,475378.0,475378.0,475378.0
16958,Jackson,MS,170674.0,170674.0,170674.0
16959,Billings,MT,110263.0,110263.0,110263.0
16960,Charlotte,NC,827097.0,827097.0,827097.0
16961,Fargo,ND,118523.0,118523.0,118523.0
16962,Omaha,NE,443885.0,443885.0,443885.0
16963,Manchester,NH,110229.0,110229.0,110229.0
16964,Newark,NJ,281944.0,281944.0,281944.0
16965,Albuquerque,NM,559121.0,559121.0,559121.0
16966,Las Vegas,NV,623747.0,623747.0,623747.0
16967,New York City,NY,8175133.0,8175133.0,8175133.0
16968,Columbus,OH,850106.0,850106.0,850106.0
16969,Oklahoma City,OK,631346.0,631346.0,631346.0
16970,Portland,OR,632309.0,632309.0,632309.0
16971,Philadelphia,PA,1567442.0,1567442.0,1567442.0
16972,Providence,RI,179207.0,179207.0,179207.0
16973,Columbia,SC,133803.0,133803.0,133803.0
16974,Sioux Falls,SD,171544.0,171544.0,171544.0
16975,Memphis,TN,655770.0,655770.0,655770.0
16976,Houston,TX,2296224.0,2296224.0,2296224.0
16977,Salt Lake City,UT,192672.0,192672.0,192672.0
16978,Virginia Beach,VA,452745.0,452745.0,452745.0
16979,Burlington,VT,42452.0,42452.0,42452.0
16980,Seattle,WA,684451.0,684451.0,684451.0
16981,Milwaukee,WI,600155.0,600155.0,600155.0
16982,Charleston,WV,49736.0,49736.0,49736.0
16983,Cheyenne,WY,63335.0,63335.0,63335.0
