,City,State,Country,Population,Latitude,Longitude,Housing,Cost of Living,Travel Connectivity,Commute,Education
0,Anchorage,AK,US,298695,61.21806,-149.90028,5.433500000000001,3.141,1.7379999999999998,4.715249999999999,3.6245
1,Birmingham,AL,US,212461,33.52066,-86.80249,6.5555,5.133,1.4354999999999998,2.02075,3.6245
2,Phoenix,AZ,US,1563025,33.44838,-112.07404,6.5329999999999995,6.208,3.3024999999999998,4.828500000000001,4.590999999999999
3,Los Angeles,CA,US,3971883,34.05223,-118.24368,1.5274999999999999,4.556000000000001,3.9585000000000004,3.6770000000000005,8.6245
4,Denver,CO,US,682545,39.73915,-104.9847,3.8375,5.102,4.243,4.530000000000001,3.6245
5,Washington,DC,US,601723,38.89511,-77.03637,1.2105000000000001,3.5949999999999993,4.505000000000001,4.457000000000001,5.968500000000001
6,Jacksonville,FL,US,868031,30.33218,-81.65565,6.450000000000001,5.359,1.5674999999999997,1.40575,3.6245
7,Atlanta,GA,US,463878,33.749,-84.38798,4.9755,5.241,5.2915,3.8977500000000003,6.456999999999999
8,Honolulu,HI,US,371657,21.30694,-157.85833,2.3415000000000004,2.867,1.983,4.1617500000000005,4.2805
9,Des Moines,IA,US,210330,41.60054,-93.60911,6.850999999999999,6.327,1.379,2.0722500000000004,3.6245
10,Boise,ID,US,145987,43.6135,-116.20345,6.9635,6.578,1.3235,5.2250000000000005,3.6245
11,Chicago,IL,US,2720546,41.85003,-87.65005,3.7020000000000004,4.766000000000001,5.5075,4.57975,7.999
12,Indianapolis,IN,US,829718,39.76838,-86.15804,6.266,5.478,1.6815000000000002,4.85875,3.6245
13,New Orleans,LA,US,389617,29.95465,-90.07507,5.339,4.991999999999999,1.7570000000000001,4.6274999999999995,4.151999999999999
14,Boston,MA,US,667137,42.35843,-71.05977,1.0,4.259,3.215,4.39625,8.6245
15,Baltimore,MD,US,621849,39.29038,-76.61219,4.829999999999999,4.982,3.6664999999999996,4.93475,5.8805
16,Portland,ME,US,66881,43.65737,-70.2589,0.0,0.0,1.1019999999999999,1.97025,3.6245
17,Detroit,MI,US,677116,42.33143,-83.04575,6.223000000000001,6.032,3.6405,0.9329999999999999,5.8185
18,Minneapolis,MN,US,410939,44.97997,-93.26384,4.738500000000001,5.042000000000001,3.544,4.924999999999999,5.2745
19,Kansas City,MO,US,475378,39.09973,-94.57857,6.7075,5.844,1.8689999999999998,1.9725000000000004,3.6245
20,Charlotte,NC,US,827097,35.22709,-80.84313,5.549,4.987,3.6790000000000003,4.134,3.6245
21,Omaha,NE,US,443885,41.25626,-95.94043,7.040500000000001,5.994000000000001,1.4165,2.1277500000000003,4.128
22,Newark,NJ,US,281944,40.73566,-74.17237,1.0,2.342,6.675,5.5192499999999995,8.0935
23,Albuquerque,NM,US,559121,35.08449,-106.65114,7.2620000000000005,6.059,1.4555000000000002,5.05575,4.151999999999999
24,Las Vegas,NV,US,623747,36.17497,-115.13722,7.0009999999999994,5.7589999999999995,3.5285,4.807499999999999,3.6245
25,New York City,NY,US,8175133,40.71427,-74.00597,1.0,2.342,6.675,5.5192499999999995,8.0935
26,Columbus,OH,US,850106,39.96118,-82.99879,6.2895,5.746000000000001,1.663,5.02675,5.047499999999999
27,Oklahoma City,OK,US,631346,35.46756,-97.51643,7.261000000000001,6.394,1.399,5.0272499999999996,3.6245
28,Portland,OR,US,632309,45.52345,-122.67621,4.138,4.924,2.2405,4.9079999999999995,4.2155
29,Philadelphia,PA,US,1567442,39.95233,-75.16379,4.207,4.422000000000001,3.5559999999999996,4.1315,6.0285
30,Providence,RI,US,179207,41.82399,-71.41283,3.1530000000000005,0.0,3.0185,2.422,5.3015
31,Memphis,TN,US,655770,35.14953,-90.04898,7.1145000000000005,5.829,1.6615000000000002,1.9175,3.6245
32,Houston,TX,US,2296224,29.76328,-95.36327,5.224500000000001,6.162,4.338500000000001,4.03075,4.928
33,Salt Lake City,UT,US,192672,40.76078,-111.89105,6.141000000000001,6.172000000000001,2.736999999999999,4.573999999999999,4.2805
34,Seattle,WA,US,684451,47.60621,-122.33207,2.291,3.79,2.8845,4.523750000000001,5.7145
35,Milwaukee,WI,US,600155,43.0389,-87.90647,6.1225,5.526,1.5875,4.915000000000001,4.177
